TDA,NTCC,EP,L,C,CostoTotale,Energy,EnergyTC,CF,2,3,4,5,6,7,8,9,10,11,
1.000000,0.666667,0.212963,1.000000,0.250500,1002.000000,1.000000,1.000000,0.426026,2,2,4,2,1,1,0,2,3,1,
1.000000,0.666667,0.287037,1.000000,0.050500,202.000000,1.000000,1.000000,0.400841,1,1,2,1,0,0,1,3,0,1,
1.000000,0.666667,0.365741,1.000000,0.050500,202.000000,1.000000,1.000000,0.416581,1,1,3,1,1,1,2,2,2,0,
1.000000,0.666667,0.199074,1.000000,0.250250,1001.000000,1.000000,1.000000,0.423198,0,4,0,0,4,3,4,3,2,3,
1.000000,0.916667,0.212963,1.000000,0.225500,902.000000,1.000000,1.000000,0.471026,2,0,0,1,0,2,4,4,4,2,
1.000000,0.750000,0.282407,1.000000,0.250250,1001.000000,1.000000,1.000000,0.456531,4,0,0,0,0,2,0,2,3,2,
1.000000,0.750000,0.189815,1.000000,0.250250,1001.000000,1.000000,1.000000,0.438013,4,2,2,3,3,2,1,4,3,1,
1.000000,1.000000,0.208333,1.000000,0.250500,1002.000000,1.000000,0.000417,0.291850,3,2,2,4,4,4,4,2,0,1,
1.000000,0.750000,0.273148,1.000000,0.250250,1001.000000,1.000000,1.000000,0.454680,1,4,4,4,1,2,3,4,4,3,
1.000000,0.916667,0.166667,1.000000,0.250500,1002.000000,1.000000,1.000000,0.466767,1,4,2,3,2,3,0,2,2,1,
1.000000,0.916667,0.240741,1.000000,0.250500,1002.000000,1.000000,1.000000,0.481581,2,3,3,0,0,0,0,1,0,4,
1.000000,0.916667,0.143519,1.000000,0.250500,1002.000000,1.000000,1.000000,0.462137,0,4,2,1,1,0,0,2,3,3,
1.000000,0.833333,0.162037,1.000000,0.250500,1002.000000,1.000000,1.000000,0.449174,0,0,4,1,1,3,0,2,4,4,
1.000000,0.916667,0.152778,1.000000,0.250500,1002.000000,1.000000,1.000000,0.463989,4,0,3,2,3,1,2,3,4,3,
1.000000,1.000000,0.162037,1.000000,0.250500,1002.000000,1.000000,1.000000,0.482507,4,1,2,3,2,0,1,1,1,4,
1.000000,0.750000,0.166667,1.000000,0.225500,902.000000,1.000000,0.000664,0.228566,3,0,1,0,3,4,3,0,1,4,
1.000000,0.833333,0.138889,1.000000,0.250500,1002.000000,1.000000,1.000000,0.444544,4,0,2,3,1,2,4,4,1,2,
1.000000,1.000000,0.208333,1.000000,0.250500,1002.000000,1.000000,0.000417,0.291850,3,2,2,4,4,4,4,2,0,1,
1.000000,0.833333,0.148148,1.000000,0.250500,1002.000000,1.000000,1.000000,0.446396,4,3,0,2,2,3,3,2,1,4,
1.000000,0.666667,0.287037,1.000000,0.050500,202.000000,1.000000,1.000000,0.400841,1,1,2,1,0,0,1,3,0,1,
1.000000,0.833333,0.152778,1.000000,0.250500,1002.000000,1.000000,1.000000,0.447322,1,3,0,2,1,1,4,2,3,0,
1.000000,0.916667,0.240741,1.000000,0.225500,902.000000,1.000000,0.000657,0.276713,0,1,4,4,4,4,3,0,1,1,
1.000000,0.916667,0.148148,1.000000,0.250500,1002.000000,1.000000,1.000000,0.463063,0,3,3,1,2,1,4,3,0,1,
1.000000,0.666667,0.175926,1.000000,0.050500,202.000000,1.000000,1.000000,0.378619,0,2,1,0,1,2,3,2,3,3,
1.000000,0.750000,0.171296,1.000000,0.250500,1002.000000,1.000000,1.000000,0.434359,0,0,2,4,0,3,2,2,4,1,
1.000000,1.000000,0.208333,1.000000,0.250500,1002.000000,1.000000,0.000417,0.291850,3,2,2,4,4,4,4,2,0,1,
1.000000,0.750000,0.180556,1.000000,0.225500,902.000000,1.000000,0.000667,0.231345,2,0,4,0,2,4,1,4,1,1,
1.000000,0.750000,0.282407,1.000000,0.250250,1001.000000,1.000000,1.000000,0.456531,4,0,0,0,0,2,0,2,3,2,
1.000000,0.916667,0.138889,1.000000,0.250500,1002.000000,1.000000,0.000704,0.261352,0,0,1,1,3,4,4,0,2,3,
1.000000,0.750000,0.157407,1.000000,0.250500,1002.000000,1.000000,1.000000,0.431581,0,0,2,2,0,3,4,4,1,3,
1.000000,1.000000,0.143519,1.000000,0.250500,1002.000000,1.000000,1.000000,0.478804,4,3,0,3,2,1,2,2,3,4,
1.000000,0.833333,0.171296,1.000000,0.050500,202.000000,1.000000,1.000000,0.411026,0,2,3,3,0,1,1,1,0,2,
1.000000,0.750000,0.175926,1.000000,0.250500,1002.000000,1.000000,1.000000,0.435285,0,4,2,1,4,0,2,3,4,4,
1.000000,0.666667,0.175926,1.000000,0.225500,902.000000,1.000000,1.000000,0.413619,4,0,2,2,4,0,1,0,4,1,
1.000000,0.416667,0.356481,1.000000,0.250000,1000.000000,1.000000,1.000000,0.404630,4,2,3,4,3,2,3,3,3,3,
1.000000,0.833333,0.185185,1.000000,0.250500,1002.000000,1.000000,1.000000,0.453804,0,3,4,0,1,0,1,0,2,4,
1.000000,0.916667,0.143519,1.000000,0.250500,1002.000000,1.000000,1.000000,0.462137,4,0,2,3,1,1,1,2,0,0,
