TDA,NTCC,EP,L,C,CostoTotale,Energy,EnergyTC,CF,2,3,4,5,6,7,8,9,10,11,
1.000000,0.750000,0.171296,1.000000,0.050500,202.000000,1.000000,1.000000,0.394359,3,1,0,2,3,0,0,2,1,3,
1.000000,0.750000,0.375000,1.000000,0.225250,901.000000,1.000000,0.000738,0.270198,2,0,0,4,0,4,4,0,0,0,
1.000000,0.833333,0.212963,1.000000,0.250250,1001.000000,1.000000,1.000000,0.459309,2,3,4,1,1,2,1,1,4,2,
1.000000,0.750000,0.324074,1.000000,0.050250,201.000000,1.000000,1.000000,0.424865,0,3,3,3,0,3,0,0,2,2,
1.000000,0.666667,0.296296,1.000000,0.225500,902.000000,1.000000,1.000000,0.437693,1,1,4,1,0,1,2,1,2,4,
1.000000,0.583333,0.236111,1.000000,0.225500,902.000000,1.000000,1.000000,0.408989,1,1,4,2,2,1,4,0,2,1,
1.000000,0.833333,0.268519,1.000000,0.225250,901.000000,1.000000,0.000633,0.265547,2,0,4,2,0,4,2,0,2,0,
1.000000,0.833333,0.162037,1.000000,0.250500,1002.000000,1.000000,0.000505,0.249275,4,3,1,0,1,4,2,4,0,4,
1.000000,0.833333,0.138889,1.000000,0.250500,1002.000000,1.000000,0.000633,0.244671,0,4,2,0,1,4,3,3,0,2,
1.000000,0.916667,0.231481,1.000000,0.250250,1001.000000,1.000000,1.000000,0.479680,4,4,2,3,2,2,4,4,0,3,
1.000000,0.916667,0.148148,1.000000,0.250500,1002.000000,1.000000,1.000000,0.463063,1,4,3,0,2,0,4,4,1,1,
1.000000,0.833333,0.120370,1.000000,0.250500,1002.000000,1.000000,0.000633,0.240967,0,1,0,2,3,4,3,1,4,3,
1.000000,1.000000,0.208333,1.000000,0.250250,1001.000000,1.000000,1.000000,0.491717,4,0,0,3,0,2,3,4,3,0,
1.000000,0.916667,0.120370,1.000000,0.250500,1002.000000,1.000000,1.000000,0.457507,0,2,1,3,2,3,0,3,4,1,
1.000000,0.916667,0.138889,1.000000,0.250500,1002.000000,1.000000,1.000000,0.461211,4,4,0,2,3,3,1,4,2,0,
1.000000,0.833333,0.231481,1.000000,0.250250,1001.000000,1.000000,1.000000,0.463013,2,3,2,4,3,2,3,1,1,2,
1.000000,0.750000,0.250000,1.000000,0.050500,202.000000,1.000000,1.000000,0.410100,1,3,1,3,2,0,3,2,3,3,
