GENERATION,POP_AVG_CF,POP_STANDARD_DEVIATION,POP_SIZE,FEASIBLE_AVG_CF,FEASIBLE_STANDARD_DEVIATION,POP_SIZE_FEASIBLE,EXECUTION_TIME,POP_AVG_TDA,FEASIBLE_AVG_TDA,w_TDA,POP_AVG_NTCC,FEASIBLE_AVG_NTCC,w_NTCC,POP_AVG_EP,FEASIBLE_AVG_EP,w_EP,POP_AVG_COST,FEASIBLE_AVG_COST,w_COST,POP_AVG_LOAD,FEASIBLE_AVG_LOAD,w_LOAD,POP_AVG_SIZESW,FEASIBLE_AVG_SIZESW,w_SIZESW,POP_AVG_ENERGY,FEASIBLE_AVG_ENERGY,w_ENERGY,POP_AVG_ENERGYTC,FEASIBLE_AVG_ENERGYTC,w_ENERGYTC,
10,0.383224,0.092363,2805,0.383224,0.092363,2805,0.016758,1.000000,1.000000,0.000000,0.000238,0.000238,0.200000,0.206051,0.206051,0.200000,0.226597,0.226597,0.200000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.696423,0.696423,0.200000,
11,0.382160,0.093121,3105,0.382160,0.093121,3105,0.018355,1.000000,1.000000,0.000000,0.000242,0.000242,0.200000,0.204100,0.204100,0.200000,0.225906,0.225906,0.200000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.690994,0.690994,0.200000,
12,0.384270,0.092335,3437,0.384270,0.092335,3437,0.020275,1.000000,1.000000,0.000000,0.000267,0.000267,0.200000,0.203546,0.203546,0.200000,0.224307,0.224307,0.200000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.701357,0.701357,0.200000,
13,0.382006,0.093893,3804,0.382006,0.093893,3804,0.022199,1.000000,1.000000,0.000000,0.000131,0.000131,0.200000,0.203115,0.203115,0.200000,0.227246,0.227246,0.200000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.685766,0.685766,0.200000,
14,0.380209,0.094184,4210,0.380209,0.094184,4210,0.024246,1.000000,1.000000,0.000000,0.000158,0.000158,0.200000,0.202839,0.202839,0.200000,0.226314,0.226314,0.200000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.677612,0.677612,0.200000,
15,0.380647,0.094376,4255,0.380647,0.094376,4255,0.026147,1.000000,1.000000,0.000000,0.000157,0.000157,0.200000,0.200733,0.200733,0.200000,0.226626,0.226626,0.200000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.676090,0.676090,0.200000,
16,0.375349,0.096290,4255,0.375349,0.096290,4255,0.027903,1.000000,1.000000,0.000000,0.000157,0.000157,0.200000,0.197517,0.197517,0.200000,0.229872,0.229872,0.200000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.651903,0.651903,0.200000,
17,0.373340,0.095790,4255,0.373340,0.095790,4255,0.029628,1.000000,1.000000,0.000000,0.000157,0.000157,0.200000,0.198123,0.198123,0.200000,0.228168,0.228168,0.200000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.643209,0.643209,0.200000,
18,0.376756,0.093838,4255,0.376756,0.093838,4255,0.031026,1.000000,1.000000,0.000000,0.000157,0.000157,0.200000,0.198763,0.198763,0.200000,0.227253,0.227253,0.200000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.663172,0.663172,0.200000,
19,0.375312,0.095431,4255,0.375312,0.095431,4255,0.032458,1.000000,1.000000,0.000000,0.000176,0.000176,0.200000,0.200504,0.200504,0.200000,0.225336,0.225336,0.200000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.656361,0.656361,0.200000,
